"","Cohort","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100","2101","2102","2103","2104","2105","2106","2107","2108","2109","2110","2111","2112","2113","2114","2115","2116","2117","2118","2119","2120","2121","2122","2123","2124","2125","2126","2127","2128","2129","2130","2131","2132","2133","2134","2135","2136","2137","2138","2139","2140","2141","2142","2143","2144","2145","2146","2147","2148","2149","2150"
"103",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110100376338.316,111266740466.832,112403054743.606,113514588818.019,114590907139.425,115627823208.771,116617559701.706,117549779981.511,118412870113.123,119196380299.131,119881973731.024,120430049642.371,120828633705.502,121037421355.684,121011342149.643,120689446438.024,120015653380.163,118908405128.58,117286791088.907,115071111750.956,112190284267.971,108585481977.26,104277461776.199,99163749106.5215,93233379040.8635,86502606859.8831,79042299029.2097,70914624995.9159,62300090665.9234,53425698764.9392,44562174504.8066,36008275917.6614,28060560967.4073,65346427307.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111926720960.121,113119727520.111,114281864528.037,115419958041.126,116522619167.474,117586147594.656,118602305420.607,119560942815.036,120450622507.36,121260830653.385,121972787066.623,122546283898.8,122969440609.43,123201543107.508,123196847507.508,122893622654.273,122234531814.915,121137044816.875,119518855342.47,117298071570.735,114402215782.11,110770555401.299,106423567905.051,101255111417.692,95252109025.6387,88429016739.1115,80802568126.9195,72493891091.274,63687511397.9952,54615487115.1581,45554572495.1355,36810178900.4712,28685468630.0383,66801689844.6791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116319691652.121,117565967099.175,118781587107.398,119972620456.329,121127918525.666,122243251363.811,123310740331.137,124319506895.523,125257783972.941,126114284932.536,126869818282.646,127483293037.436,127941993804.687,128204310574.028,128222626665.761,127932656518.434,127275470272.06,126164429208.304,124514284928.639,122239826527.67,119264197286.327,115524387861.303,111040444398.86,105700393846.126,99488363668.8325,92361820291.5587,84396192015.2631,75717993800.1802,66519958034.9572,57044463368.2677,47580572456.9766,38447279568.1523,29961229880.0436,69772636857.5325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119212598540.966,120497360438.248,121750860135.457,122980247128.929,124173639578.244,125327322864.952,126432933864.44,127479630638.992,128455039016.48,129347909268.044,130139034677.399,130786350357.914,131277030946.659,131567987836.33,131611321848.1,131341499989.72,130697106064.827,129590685355.907,127933914009.603,125638656489.645,122626496752.607,118831387379.557,114273341454.609,108835154232.956,102438893652.984,95100998122.1254,86899132921.1775,77963565069.1063,68492742825.9499,58736233072.694,48991671207.8284,39587511922.8876,30849791153.5748,71841886461.5034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123784635234.728,125126275550.785,126436942285.539,127722826998.876,128972920921.82,130182818291.754,131344085494.855,132445260827.241,133473449853.478,134417573057.655,135257201952.073,135949697119.186,136481531959.558,136808342238.692,136880450370.673,136629994817.304,135993702124.991,134879977586.405,133197383291.716,130854069930.844,127767745685.91,123869169712.161,119178081438.157,113506481121.512,106835685863.438,99182839626.2541,90628941171.7171,81309848725.3541,71432528169.1021,61257258074.3919,51094448684.8423,41286652335.7414,32173898790.8328,74925420805.8737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124671856757.305,126030692522.204,127358806412.808,128662948688.144,129932014635.495,131161550812.602,132342629494.971,133464519102.989,134514229402.93,135480653283.08,136343242543.776,137059657325.01,137616019116.96,137968139403.801,138066255369.19,137842512694.401,137232942475.765,136145043305.4,134486766870.207,132165552621.869,129097574324.136,125212276575.604,120470323079.265,114737225900.005,107994099561.352,100258273916.702,91611625993.1069,82191487119.6559,72207067298.4104,61921467287.6012,51648463092.7204,41734321325.9314,32522758675.7428,75737833185.5204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127462042979.699,128857119601.418,130221904413.257,131562926053.56,132868787329.896,134134943051.345,135352240738.601,136509671193.909,137594596450.326,138595124340.491,139491402379.317,140239389201.203,140825622637.568,141204905632.159,141325743549.385,141119148060.473,140520182889.78,139434774240.577,137767966462.646,135424874774.774,132319422042.03,128337160134.798,123476863190.641,117600686901.18,110689274471.023,102760388249.288,93897948642.3409,84242714314.2265,74009116455.4851,63466821947.5447,52937437605.3647,42775871708.4676,33334418975.0756,77627998560.6987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128644659939.393,130060227141.627,131445859123.23,132808675725.578,134136341366.281,135424911698.892,136665217395.093,137846366303.556,138955454001.436,139980893581.106,140902380985.362,141676389381.508,142288710306.825,142694545716.34,142842709902.519,142662708057.664,142089251586.339,141027944278.665,139382577257.122,137056882066.231,133914005473.863,129883753265.885,124964884806.969,119017894624.814,112023192654.984,103998755300.945,95029514295.1947,85257924586.6494,74901001479.4921,64231661614.971,53575387496.8206,43291364409.8103,33736132581.3409,78563494789.7554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130869218647.492,132318373959.972,133737979817.272,135134742133.047,136496854441.964,137819969925.514,139095416518.968,140312064433.301,141456713857.166,142517899627.5,143475012885.718,144283926310.228,144931140975.3,145370719193.755,145551159706.093,145401139578.134,144854559340.237,143814764284.25,142184327588.457,139811883245.7,136605831214.14,132494566295.095,127476822915.039,121410291381.009,114274987845.709,106089250059.019,96939716979.0786,86971707063.3429,76406597873.5479,65522791989.7524,54652314488.8775,44161570693.5943,34414267700.5057,80142711517.4819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130885566458.392,132341147562.325,133767278784.755,135171099987.969,136540874851.536,137872210172.528,139156814255.027,140383337536.623,141539062695.934,142612529011.348,143583265937.052,144407414884.933,145071138733.135,145528823753.646,145729635705.158,145602235222.954,145080348640.627,144067627984.144,142434324557.265,140057708841.303,136846019737.758,132727526147.415,127700960271.544,121623762199.784,114475912948.05,106275782508.746,97110162173.7982,87124625908.2442,76540940513.0589,65637998072.3292,54748407449.2783,44239218202.2786,34474776919.4526,80283623214.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2017,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132288114098.053,133766450897.329,135215470044.681,136642576902.79,138035920530.479,139391600827.47,140701167279.07,141952829408.967,143134162879.574,144233677721.231,145231224782.118,146081797881.13,146772565682.773,147257624722.177,147484680702.133,147382489020.269,146884927555.33,145859610193.916,144205990956.156,141799813754.785,138548176122.779,134378454735.129,129289366023.615,123136576849.384,115899819222.628,107597691630.525,98318064916.6866,88208323764.9047,77492993417.9188,66454434953.2333,55429394382.5346,44789486802.5322,34903590718.8462,81282229401.1402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2018,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133537161889.476,135036330023.526,136506499322.553,137955357932.244,139370951995.222,140749337312.469,142081884947.411,143357323390.416,144562769182.361,145687111966.863,146709946707.721,147586126404.628,148302855183.768,148814161465.264,149067562847.651,148990908470.188,148487917001.026,147451410112.298,145779744542.424,143347308168.499,140060184657.226,135844958128.326,130700331005.7,124480395009.313,117164660960.062,108771930314.749,99391032871.9818,89170961758.9524,78338692514.7001,67179667688.9721,56034308281.1582,45278284910.1227,35284501738.584,82169281313.2815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2019,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144227365596.872,145853602089.157,147449788008.918,149023608151.987,150562503026.657,152062348385.271,153513789096.617,154904517057.158,156220732157.021,157450221040.519,158570940438.942,159536175715.936,160329659212.218,160903236850.454,161199965148.046,161117071977.06,160573142729.478,159452275981.898,157644555868.581,155014146870.064,151459488932.87,146901190959.995,141337849767.421,134611681802.46,126700530300.125,117624726941.724,107480331260.036,96428462726.3384,84714570104.1567,72647327716.6765,60594862956.5313,48963421753.4943,38156258423.1618,88856925215.0327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2020,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148567301196.621,150250238228.556,151903436682.88,153534463711.861,155130415888.923,156687079013.816,158195059851.175,159641726098.945,161013124071.88,162296296630.566,163469019694.953,164483461335.003,165323619635.488,165939078023.226,166245093123.292,166159605617.652,165598652838.7,164442705958.32,162578409038.012,159865675269.681,156199766041.677,151498805527.893,145761346628.403,138824667587.121,130665918191.547,121306066450.262,110844178302.625,99446415828.6474,87365909681.9967,74920994866.9993,62491320179.5677,50495845961.0645,39350447309.1497,91637909434.1362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2021,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152291164795.709,154024521419.402,155728015271.347,157409677360.131,159056467208.08,160664097034.847,162222732128.256,163719407541.591,165140460224.992,166472399261.027,167692859229.559,168753358530.88,169637074363.092,170268590661.358,170582589994.306,170494872036.138,169919283451.233,168733176787.594,166820238539.553,164036726897.355,160275170516.661,155451557351.084,149564402544.445,142446738771.093,134075119634.165,124471060218.064,113736211189.281,102041069958.802,89645371606.313,76875756807.3585,64121779765.7847,51813331907.5092,40377138917.7246,94028832004.9579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2022,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156261627283.921,158048243861.965,159805312858.341,161540736135.214,163241330178.729,164902723346.266,166514831946.1,168065020841.917,169538841745.796,170922459813.539,172193135213.982,173301719319.363,174209253690.502,174857791066.116,175180253532.872,175090171337.779,174499069079.116,173280993623.348,171316496500.308,168457961668.54,164595021139.438,159641398514.067,153595568915.344,146286064795.263,137688807812.961,127825892942.73,116801710612.27,104791353600.301,92061557551.4863,78947766993.6537,65850035673.1836,53209841756.0858,41465412342.3444,96563164098.8576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160566077625.275,162410449645.688,164225026567.907,166018189139.536,167776613893.657,169495620333.378,171165313747.087,172772738730.573,174302840063.36,175741894485.503,177066795523.37,178206756386.874,179139977114.432,179806870337.176,180138459605.203,180045827772.935,179437995279.276,178185444082.095,176165344907.066,173225903669.039,169253628584.232,164159801333.705,157942853881.091,150426465554.697,141585876513.47,131443807095.771,120107602338.861,107757310751.695,94667217518.7175,81182261406.1843,67713819062.8836,54715864011.3469,42639026691.6862,99296235075.4251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165258129373.328,167164643838.068,169042024127.72,170898072582.594,172719092608.604,174500751515.636,176232672643.988,177901789019.481,179492645231.357,180991648439.295,182356126861.27,183530140584.326,184491238439.411,185178053066.457,185519547554.158,185424148627.971,184798158989.448,183508191639.34,181427748152.772,178400500058.524,174309565351.359,169063575522.713,162660915695.907,154919998156.088,145815323437.345,135370290578.965,123695451224.324,110976232283.324,97495112375.0827,83607334261.1381,69736563214.9963,56350333835.7999,43912737775.8638,102262407735.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170411535080.447,172386007481.254,174331658531.543,176256110636.42,178145751434.309,179995455356.855,181795034867.967,183531316250.253,185188433293.547,186735003935.604,188142780955.675,189354049315.767,190345645410.39,191054254526.834,191406585560.088,191308159367.439,190662305381.24,189331403871.274,187184942274.83,184061631394.642,179840880242.696,174428420940.04,167822587365.582,159836029534.167,150442438812.732,139665956755.487,127620643109.053,114497808881.694,100588896504.633,86260421554.9506,71949493353.4215,58138482639.0484,45306207949.9728,105507471066.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176052447894.507,178101223953.374,180121348607.237,182120236468.134,184084125560.157,186008254701.927,187881686386.708,189690630911.321,191403360835.885,193001834419.765,194456856464.916,195708775015.511,196733649094.993,197466039147.623,197830194417.433,197728465039.781,197060936180.828,195685369589.446,193466872698.696,190238743442.612,185876343797.199,180282242251.593,173454716769.644,165200129896.933,155491290082.139,144353149070.521,131903594456.085,118340357648.377,103964661892.47,89155323035.5725,74364119796.0495,60089611284.5962,46826685199.1153,109048303915.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182195655507.356,184325462779.859,186425670627.581,188505368436.926,190549936366.059,192554248892.66,194507315787.813,196380052565.188,198153181743.999,199808025343.381,201314358599.47,202610425936.017,203671442100.255,204429659816.875,204806656986.864,204701340132.602,204010270933.347,202586195119.878,200289463151.999,196947494231.597,192431254986.881,186639877994.231,179571580490.059,171025896413.945,160974675307.156,149443748835.818,136555161888.479,122513618853.616,107630965584.747,92299376833.0975,76986563249.6062,62208665583.5275,48478023699.3084,112893881749.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188818672287.449,191035351792.048,193222468968.771,195388408831.828,197519631729.247,199610393585.366,201635030558.49,203576393719.071,205414499163.618,207129984457.214,208691517250.429,210035078935.767,211134976005.616,211920978587.788,212311790807.798,212202614620.561,211486221211.165,210009960182.095,207629064539.932,204164629268.378,199482892571.589,193479290742.223,186151975687.375,177293135273.834,166873587470.148,154920110543.078,141559221712.463,127003126752.972,111575099100.102,95681684737.1109,79807733557.7528,64488300273.6053,50254499428.1274,117030874670.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195893329137.308,198202443051.041,200482590476.53,202741424664.038,204965271797.436,207134846377.702,209235803451.459,211250347648.319,213157741757.631,214937893464.012,216558289323.298,217952497502.004,219093855957.856,219909487454.725,220315031613.525,220201739953.881,219458341596.03,217926431879.42,215455786718.001,211860757146.297,207002539124.42,200772627343.265,193169104044.775,183976323472.662,173164003558.476,160759931994.392,146895395154.953,131790598059.285,115781000160.159,99288472474.7829,82816141651.3015,66919231661.2497,52148877780.6639,121442434989.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203337474040.119,205744038331.843,208121522951.692,210478098131.423,212786807937.267,215039174133.102,217220304357.835,219311724164.416,221291905004.026,223139987832.512,224822218482.947,226269630063.188,227454543099.446,228301299338.441,228722319183.764,228604704280.468,227832937618.702,226242569768.642,223677644048.135,219945427071.597,214901817995.421,208434170915.417,200540494891.309,190996915060.181,179771993780.786,166894579131.949,152500967415.579,136819766740.257,120199237791.914,103077350312.086,85976430412.4491,69472889577.5306,54138894570.5141,126076714669.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211089060368.143,213597667352.742,216077117118.733,218523774071.306,220920735961.818,223259200467.503,225523705956.107,227695071781.62,229750946451.036,231669673568.312,233416208689.328,234918948613.134,236149155798.243,237028279900.496,237465393530.73,237343282713.578,236542014718.815,234890853919.462,232227882077.576,228352998435.969,223116593793.154,216401716274.633,208206298835.013,198297908834.517,186643906905.56,173274243865.428,158330426039.716,142049800245.573,124793939682.896,107017555800.046,89262940998.1468,72128540503.258,56208392562.5847,130896087320.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219074501879.87,221688109611.882,224261473536.275,226800802553.333,229288554207.67,231715592770.801,234065870969.978,236319481653.558,238453226720.676,240444629495.629,242257318155.331,243816977383.241,245093781145.556,246006203845.477,246459874035.667,246333138025.142,245501520389.739,243787818546.408,241023981277.518,237002328606.305,231567584581.168,224598367539.59,216092532142.664,205808841895.805,193713421149.58,179837355168.86,164327510116.594,147430222799.117,129520761730.197,111071061470.989,92643954840.5586,74860554384.355,58337398745.7639,135854040511.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227215112134.919,229925839165.266,232594826964.52,235228515150.079,237808709404.79,240325934524.762,242763546935.116,245100899752.464,247313932855.506,249379334355.608,251259380885.649,252876995639.173,254201244273.949,255147571775.772,255618099939.715,255486654533.72,254624134739.494,252846753286.348,249980214325.471,245809120680.085,240172426484.732,232944239644.151,224122335100.585,213456512229.596,200911636593.272,186519948556.798,170433771696.845,152908596472.566,134333636036.129,115198361609.942,96086520371.3335,77642304845.9129,60505163695.1647,140902253726.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
